date,warehouse_id,sku_id,units_sold,revenue,order_id,client_id
2023-02-08,WH001,SKU001,50,1300.00,ORD-20230208-039,CUST-039
2023-02-09,WH001,SKU001,38,988.00,ORD-20230209-040,CUST-040
2023-02-10,WH001,SKU001,30,780.00,ORD-20230210-041,CUST-041
2023-02-11,WH001,SKU001,26,676.00,ORD-20230211-042,CUST-042
2023-02-12,WH001,SKU001,45,1170.00,ORD-20230212-043,CUST-043
2023-02-13,WH001,SKU001,52,1352.00,ORD-20230213-044,CUST-044
2023-02-14,WH001,SKU001,39,1014.00,ORD-20230214-045,CUST-045
2023-02-15,WH001,SKU001,47,1222.00,ORD-20230215-046,CUST-046
2023-02-16,WH001,SKU001,43,1118.00,ORD-20230216-047,CUST-047
2023-02-17,WH001,SKU001,34,884.00,ORD-20230217-048,CUST-048
2023-02-18,WH001,SKU001,28,728.00,ORD-20230218-049,CUST-049
2023-02-19,WH001,SKU001,24,624.00,ORD-20230219-050,CUST-050
2023-02-20,WH001,SKU001,46,1196.00,ORD-20230220-051,CUST-051
2023-02-21,WH001,SKU001,55,1430.00,ORD-20230221-052,CUST-052
2023-02-22,WH001,SKU001,41,1066.00,ORD-20230222-053,CUST-053
2023-02-23,WH001,SKU001,49,1274.00,ORD-20230223-054,CUST-054
2023-02-24,WH001,SKU001,36,936.00,ORD-20230224-055,CUST-055
2023-02-25,WH001,SKU001,32,832.00,ORD-20230225-056,CUST-056
2023-02-26,WH001,SKU001,27,702.00,ORD-20230226-057,CUST-057
2023-02-27,WH001,SKU001,44,1144.00,ORD-20230227-058,CUST-058
2023-02-28,WH001,SKU001,51,1326.00,ORD-20230228-059,CUST-059
2023-03-01,WH001,SKU001,47,1222.00,ORD-20230301-060,CUST-060
2023-03-02,WH001,SKU001,38,988.00,ORD-20230302-061,CUST-061
2023-03-03,WH001,SKU001,29,754.00,ORD-20230303-062,CUST-062
2023-03-04,WH001,SKU001,25,650.00,ORD-20230304-063,CUST-063
2023-03-05,WH001,SKU001,43,1118.00,ORD-20230305-064,CUST-064
2023-03-06,WH001,SKU001,56,1456.00,ORD-20230306-065,CUST-065
2023-03-07,WH001,SKU001,42,1092.00,ORD-20230307-066,CUST-066
2023-03-08,WH001,SKU001,50,1300.00,ORD-20230308-067,CUST-067
2023-03-09,WH001,SKU001,39,1014.00,ORD-20230309-068,CUST-068
2023-03-10,WH001,SKU001,31,806.00,ORD-20230310-069,CUST-069
2023-03-11,WH001,SKU001,27,702.00,ORD-20230311-070,CUST-070
2023-03-12,WH001,SKU001,45,1170.00,ORD-20230312-071,CUST-071
2023-03-13,WH001,SKU001,53,1378.00,ORD-20230313-072,CUST-072
2023-03-14,WH001,SKU001,40,1040.00,ORD-20230314-073,CUST-073
2023-03-15,WH001,SKU001,48,1248.00,ORD-20230315-074,CUST-074
2023-03-16,WH001,SKU001,44,1144.00,ORD-20230316-075,CUST-075
2023-03-17,WH001,SKU001,35,910.00,ORD-20230317-076,CUST-076
2023-03-18,WH001,SKU001,29,754.00,ORD-20230318-077,CUST-077
2023-03-19,WH001,SKU001,26,676.00,ORD-20230319-078,CUST-078
2023-03-20,WH001,SKU001,47,1222.00,ORD-20230320-079,CUST-079
2023-03-21,WH001,SKU001,54,1404.00,ORD-20230321-080,CUST-080
2023-03-22,WH001,SKU001,41,1066.00,ORD-20230322-081,CUST-081
2023-03-23,WH001,SKU001,49,1274.00,ORD-20230323-082,CUST-082
2023-03-24,WH001,SKU001,37,962.00,ORD-20230324-083,CUST-083
2023-03-25,WH001,SKU001,33,858.00,ORD-20230325-084,CUST-084
2023-03-26,WH001,SKU001,28,728.00,ORD-20230326-085,CUST-085
2023-03-27,WH001,SKU001,46,1196.00,ORD-20230327-086,CUST-086
2023-03-28,WH001,SKU001,52,1352.00,ORD-20230328-087,CUST-087
2023-03-29,WH001,SKU001,39,1014.00,ORD-20230329-088,CUST-088
2023-03-30,WH001,SKU001,45,1170.00,ORD-20230330-089,CUST-089
2023-03-31,WH001,SKU001,43,1118.00,ORD-20230331-090,CUST-090 
